date,username,fulltext
2022-03-08 12:14:56,bluemini_,"GUE MAU KE RUMAH SAKIT DULU MINTA OKSIGEN, SEKALIAN MAU MINTA DOKTERNYA JOROKIM KIM TAEYOUNG😭"
2022-03-08 12:12:56,redpetals_,"Agak diketawain dokter karena alasan periksanya tuh keracunan mie ayam :"")

Tapi untung dokternya ramah"
2022-03-08 11:59:27,18fesss,18! Kalian ada ga yg keputihan setiap hari terus periksa ke dokter dan skrg ga keputihan lagi? Itu kalian dikasi 0b4t apa sm dokter dan dokternya bilang apaa?
2022-03-08 11:59:00,tameimhead,*gay panic* dokternya cantik bgt 😻✋🏻
2022-03-08 11:53:47,septiderman,Mau pasang infus dokternya lama bgtt jam 10:)
2022-03-08 11:51:16,nockbigwin22,"Kata dokternya, uveitis komplikasi katarak.
Dan katarak hanya bisa di sembuhkan dgn cara operasi"
2022-03-08 11:50:07,proscrastinatin,"@Askrlfess Kalo obat tuh tergantung, biasanya ada beberapa obat yg emg gak dicover sama bpjs jadi harus bayar sendiri. Tapi biasanya pasti diinfoin sama dokternya apa gak di kasir gtu. Cuma ya jgn berharap bpjs bakal cover banyak buat obat soalnya obat begituan aslinya emg mahal"
2022-03-08 11:49:26,gertakk,gue bawel bgt dah dokternya misuh ga ya
2022-03-08 11:48:15,ar8em,"@BaseAnakFK ditanyakan ke dokternya nder, gabisa menentukan dari satu pemeriksaan aja"
2022-03-08 11:39:44,ddeviuos,"@WEBCOMICFESS 'gue emang dokternya, tapi lu obatnya'"
2022-03-08 11:37:32,notpizzaface,"@18fesss Gak pernah nyinggung fisik my ex kecuali pas itu habis MCU dan dibilang sama dokternya kalau terlalu kurus dan ku sentil dikit ""Mangkannya toh makannya dibanyakin dan jangan terlalu picky"" :(( semoga dia tidak tersinggung atau sakit hati."
2022-03-08 11:34:19,Thisisputlan,"Kalo bahas kpop sama dokternya gimana, Dok😭

Soalnya di vet setelnya blekping, jadi pada hit yu wit that dudududu😫 https://t.co/hQEm6UOuWR"
2022-03-08 11:32:48,douxrevexo,"@arwhom suru ke ugd ke dokternya wkwk, males"
2022-03-08 11:32:01,litahskies,"@worksfess Setiap jumat atau malam minggu selalu digofod tin sama dokternya,owner nya juga baik bgt,gak pelit selalu berbagi,semua orang disana baik banget,aku juga kalo berangkat selalu minta nebeng,karena posisinya emang satu arah hehe,dah itu aja cerita aku,makasi"
2022-03-08 11:30:06,litahskies,"@worksfess Dan aku tuh kerjanya makan terus disana tidak ada kata tidak makan,bener² nyaman bgt,udh gitu aku kaya selalu dimanja gitu,alhamdulillah banget,karena aku langsung dpt tempat kerja yg enak padahal aku posisinya baru aja lulus smk,terus disana dokternya juga pada baik² bgt²"
2022-03-08 11:25:18,citatozs,"@yourpetsfess Iyaa, dulu kucingku juga dikasih salep aja sm dokternya, katanya kl blm terlalu parah, gausa disuntik soalnya obatnya agak keras"
2022-03-08 11:22:25,jejeyue,"Gue dokternya, lo obatnya halahhhhhhh https://t.co/TvM7z82Pdf"
2022-03-08 11:22:06,hanbypl,"@BaseAnakFK gue mencatat apa yg dokternya jelasin si, kan gak cukup waktu, kalo ratusan slide dibahas dalam 1 pertemuan :D 
karena biasanya yang dijelasin sama dokternya itu yg keluar di ujian👍"
2022-03-08 11:21:02,NurdinZakira,RT @matchalasagna: Kaget denger susternya ngomong 🤣 orang baru sadar dari koma langsung dikasih tau hal yang berat  #IkatanCinta
2022-03-08 11:20:17,NurdinZakira,"RT @dian_inidian: Di trailer kan dokternya bilang ke Al kalo kondisi Andin udah stabil. Harusnya, harusnya nih kl udah blg stabil gt Andinn…"
